iso,umd_tree_cover_loss__year,umd_tree_cover_loss__ha,gfw_gross_emissions_co2e_all_gases__Mg
AFG,2001,88.09271247269965572,23242.622269134788774
AGO,2001,101220.62152450022645573,37420940.6334371095067845
AIA,2001,3.87846070809678965,649.56108480249433
ALA,2001,396.934825671747194466,74295.704014755021969
ALB,2001,3729.021031484866300286,1367093.038443770434190
AND,2001,1.6542129477061634,572.18653339394565
ARG,2001,147805.950355627123345125,32292046.2035051310003996
ARM,2001,131.840612264474781465,39946.2733720050578639
ATG,2001,24.07418943832681809,7175.055822775585019
AUS,2001,218816.302071089892370441,28262425.2510947504233240
AUT,2001,6926.26900784900933848,2790463.5328496349157715
AZE,2001,553.29935612138195229,153394.202553465722794
BDI,2001,1417.24695708633791810,484518.650051457169752
BEL,2001,971.488195276284387430,418959.907410757306076
BEN,2001,3749.33110518270109187,1121841.002625015299824
BES,2001,3.03185725290093332,267.007131178317952
BFA,2001,59.47710511239313311,253222.1312393934275955
BGD,2001,4586.99720271471007486,2305908.882768629076130
BGR,2001,8202.31911165974413565,2116559.279609445243264
BHS,2001,432.99941970350704208,87769.504322132782298
BIH,2001,1496.107104549773778936,500282.323130450686729
BLR,2001,18358.96427888590674968,4984365.948492351029464
BLZ,2001,8211.62949254660414452,3602474.209963949327547
BMU,2001,0.1958197936338976,62.84709498444276
BOL,2001,140321.26053098037618274,63046051.569401813652632
BRA,2001,2746361.55670610413564286,1181142068.97202116881165968
BRB,2001,12.36746156416883842,3382.2749630501165466
BRN,2001,1244.45382286781158790,819573.824058240072811
BTN,2001,297.65963149439670985,165526.078537637919325
BWA,2001,130.98388147723632370,24882.3990593816711926
CAF,2001,31282.43685307152140354,14185393.005033087862677
CAN,2001,1358154.799492036871802704,419119124.3510810974502350
CHE,2001,1165.213247325959493233,563852.928577027673667
CHL,2001,72711.302806946934619440,21025873.6492194245772505
CHN,2001,230289.115278809464032496,88121035.0064439520636522
CIV,2001,122711.45023837910199728,46884883.158599768659513
CMR,2001,39203.71718120803080314,19436576.646903754968317
COD,2001,455516.73897045698503409,254170270.8441411771308573
COG,2001,27030.69621787330225581,13988375.287553865883051
COL,2001,230054.83567237298533590,112439474.1236222177529756
COM,2001,36.97369320812446387,17632.83696838431762
CPV,2001,7.13645079432942799,0.0
CRI,2001,15461.87944946766552073,6955679.039469145435693
CUB,2001,18942.90877802544319200,5341951.91347976520387916
CUW,2001,0.90278852551215287,176.334349696465601
CYM,2001,20.68161219993164220,3980.792680747710055
CYP,2001,78.62890207442053983,21033.3255848435321848
CZE,2001,3460.142585505528808464,1317833.592998792460277
DEU,2001,15286.38056788825824821,6148611.7015527360091093
DMA,2001,22.79275551081271933,12965.510258235235808
DNK,2001,4329.29585318787212670,1040093.9560888731795666
DOM,2001,11246.81006554313612271,4196847.236164911601513
DZA,2001,3468.760252169604490056,984310.265121838238956
ECU,2001,45002.46870978925032571,24958116.4172624941302565
EGY,2001,147.7649426810926578,43240.0967337543332
ERI,2001,2.52952433260253888,990.51615643238662
ESP,2001,32811.053519209294722958,9584467.68704194091190524
EST,2001,16872.43450527266806337,3717256.178600210478818
ETH,2001,11947.24724356116984960,5294162.365408909196026
FIN,2001,151003.260500030184794066,28065458.7402058566986750
FJI,2001,1097.76405439653422192,571130.020223121203833
FRA,2001,34420.963394336132140276,12682714.942057822734209
GAB,2001,15082.63772959298129598,8533768.964026260430249
GBR,2001,23244.127250639834991481,8315638.160288187823033
GEO,2001,666.55636661217029520,242409.731866732846995
GGY,2001,0.9576780356467015,234.7266059170567
GHA,2001,43644.05617298840684793,17133133.448428943473680
GIB,2001,0.18728563696831596,45.20122925710122
GIN,2001,18571.52585588293520829,6573835.16413354517262263
GLP,2001,320.70238556614373781,117383.062121503995380
GMB,2001,3.29742186304958741,3283.884994739869955
GNB,2001,2362.15302834531830030,731587.982817886383462
GNQ,2001,3585.41910142410024731,2153860.201936063193373
GRC,2001,12616.822022141136650056,2371508.6743007478707381
GRD,2001,32.81085886816514150,17828.330270291393442
GTM,2001,53310.17515246638941646,21310473.67678650593672203
GUF,2001,3033.28774855398396882,2230736.675569383556453
GUY,2001,10039.86770689784899201,6296925.511375498768705
HKG,2001,7.9812912139051649,3360.763130038230062
HND,2001,42380.17445673980195829,17711925.607914251936055
HRV,2001,3378.48960363450925323,1115646.3666500653637688
HTI,2001,2469.04829834469431328,863442.22466299459817264
HUN,2001,7522.059331819899895316,2600479.598657913804820
IDN,2001,744087.98910984744103669,491946199.3331709060964107
IMN,2001,15.97543761675781434,4023.936391908500303
IND,2001,62361.17449539599683382,30944777.8926553062669545
IRL,2001,9559.474140865519154346,4004797.483870599035541
